"","STFIPS","ADMYR","AdmAlc","AdmCoc","AdmMar","AdmHer","AdmOpi","AdmPCP","AdmHal","AdmBen","AdmNMJ"
"103",24,2004,25672,10180,10659,23003,2508,288,154,202,63213
"104",25,2000,28947,5014,3999,29880,1294,19,92,405,66137
"105",25,2001,26726,4332,3300,37391,2627,22,91,437,72119
"106",25,2002,22670,3194,2105,35760,2988,11,39,351,65426
"107",25,2003,18213,2790,2331,25340,2772,12,29,347,49866
"108",25,2004,20421,3643,3144,25656,3369,14,23,427,53988
"109",26,2000,30243,8878,9196,6552,1184,3,63,68,48138
"110",26,2001,26815,7938,7741,6925,1603,9,59,53,44677
"111",26,2002,31976,10324,10301,7610,2173,4,61,127,53349
"112",26,2003,29621,10374,9697,7686,2316,4,26,130,51207
"113",26,2004,27400,10360,10375,7708,2827,0,26,138,49809
"114",27,2000,23129,4166,8011,956,527,18,151,160,31909
"115",27,2001,24149,4038,8225,950,659,25,135,150,34245
"116",27,2002,22441,3862,8333,906,728,22,93,124,32490
"117",27,2003,21740,4423,8638,1026,979,17,86,163,33810
"118",27,2004,22696,4669,8530,1173,1290,22,64,155,37138
"119",28,2000,4436,2235,1659,80,297,4,19,88,7917
"120",28,2001,4358,2295,2081,65,470,0,25,111,8388
"121",28,2002,4860,2446,2079,106,586,0,26,132,9323
"122",28,2003,4208,2434,2180,94,551,3,16,90,8558
"123",28,2004,3708,2230,2016,76,618,3,17,96,8039
"124",29,2000,19337,7993,10477,1925,112,193,71,129,33828
"125",29,2001,19338,8282,11096,1812,346,213,44,144,34638
"126",29,2002,16511,7558,10160,1483,546,270,39,142,31015
"127",29,2003,13305,7512,9838,1378,608,366,39,190,27782
"128",29,2004,13106,7603,10582,1582,828,217,23,231,28877
"129",30,2000,4326,196,1382,76,186,2,23,17,5640
"130",30,2001,4144,174,1294,67,259,3,33,14,5626
"131",30,2002,4129,121,1353,59,267,3,21,12,5597
"132",30,2003,4524,136,1476,62,316,0,22,11,6267
"133",30,2004,4413,115,1480,77,323,4,15,15,6213
"134",31,2000,5349,829,765,12,46,0,14,6,7738
"135",31,2001,5105,794,961,13,69,0,19,3,8010
"136",31,2002,4929,791,914,17,66,0,17,11,8348
"137",31,2003,6136,728,980,10,72,3,18,15,9521
"138",31,2004,10861,734,1054,0,208,0,10,20,14050
"139",32,2000,4538,1429,1475,787,56,26,29,6,9317
"140",32,2001,4480,1392,1385,779,89,33,18,11,9433
"141",32,2002,4167,1097,1513,696,104,32,14,7,9012
"142",32,2003,4573,1238,1548,691,224,51,25,15,10155
"143",32,2004,4592,1116,1461,646,272,30,9,20,10121
"144",33,2000,3687,382,955,424,71,4,20,12,4804
"145",33,2001,3327,333,991,497,116,2,22,9,4445
"146",33,2002,2573,321,773,527,141,0,33,22,3814
"147",33,2003,2746,457,802,694,159,0,15,18,4205
"148",33,2004,3167,559,964,780,214,0,9,17,4886
"149",34,2000,15853,5766,5637,24324,532,105,68,187,47265
"150",34,2001,15254,5486,5704,26688,796,120,61,173,49023
"151",34,2002,14925,5308,5858,26559,1058,135,48,166,48731
"152",34,2003,15293,5683,6327,26130,1160,189,37,165,49375
"153",34,2004,14992,5905,6506,23708,1598,160,30,259,47951
"154",35,2000,2925,365,545,628,90,2,0,8,6591
"155",35,2001,3826,472,497,544,99,0,3,7,6632
"156",35,2002,3771,467,343,580,109,2,7,9,6334
"157",35,2003,3569,469,454,451,86,0,9,6,6362
"158",35,2004,2637,319,326,406,96,0,0,12,5116
"159",36,2000,163402,41335,32279,53736,2560,341,403,1466,268256
"160",36,2001,159103,40703,34318,56970,3172,370,419,1605,266874
"161",36,2002,163487,42847,37116,58252,3771,424,423,1552,275505
"162",36,2003,156652,44230,37124,59162,4594,480,392,1578,271815
"163",36,2004,136113,44602,36455,55601,5571,486,328,1620,248776
"164",37,2000,18287,6773,6424,908,759,7,97,227,30509
"165",37,2001,17224,5851,6718,862,991,12,83,243,28394
"166",37,2002,15441,5511,5677,891,977,4,34,253,25816
"167",37,2003,13680,5531,4685,966,1091,4,33,230,24071
"168",37,2004,11659,5595,3408,1104,1346,4,48,153,21958
"169",38,2000,1454,12,341,6,21,0,0,8,1610
"170",38,2001,1533,15,408,9,48,0,0,10,1805
"171",38,2002,2046,35,693,7,56,0,0,3,2588
"172",38,2003,1047,23,353,6,29,0,0,2,1685
"173",38,2004,1714,29,483,14,50,0,2,7,2271
"174",39,2000,21866,8419,9837,2948,626,151,188,129,39122
"175",39,2001,25870,9245,12867,3732,909,205,277,178,47058
"176",39,2002,29673,10220,14464,4385,1586,168,175,206,53788
"177",39,2003,25000,9322,12452,4033,1571,114,72,181,45473
"178",39,2004,22480,9237,11624,4087,1673,106,44,140,42423
"179",40,2000,6424,1369,2259,140,216,16,16,67,11332
"180",40,2001,7730,1682,2924,185,342,29,16,90,14063
"181",40,2002,7788,1773,3023,136,404,42,23,115,14541
"182",40,2003,6998,1750,2974,154,477,31,23,108,13516
"183",40,2004,6588,2150,2988,137,707,27,19,135,14087
"184",41,2000,30155,1587,7495,5080,408,2,36,0,45119
"185",41,2001,31217,1659,8422,4568,567,3,48,0,47037
"186",41,2002,30423,1631,8655,4639,658,3,49,0,47104
"187",41,2003,25338,1125,6924,3364,566,4,28,0,38198
"188",41,2004,24310,1050,6894,2928,772,4,24,0,37860
"189",42,2000,29620,11591,9360,10439,1233,157,180,272,54812
"190",42,2001,27536,9974,9663,11033,1882,147,167,255,52439
"191",42,2002,26700,10023,9441,12751,2104,196,120,222,53222
"192",42,2003,26712,11027,9530,15808,2926,240,83,279,58127
"193",42,2004,34154,14958,12244,19401,4210,235,96,427,74982
"194",44,2000,4117,1278,1252,4686,313,0,27,28,10528
"195",44,2001,4419,1449,1528,4983,448,0,14,31,11440
"196",44,2002,4733,1493,1677,4332,555,2,20,48,11296
"197",44,2003,4616,1614,1841,4301,761,0,26,49,11446
"198",44,2004,4301,1587,1690,4111,843,4,27,60,10995
"199",45,2000,16329,3498,4025,348,411,0,21,69,24241
"200",45,2001,16735,3986,4719,408,783,2,36,83,26126
"201",45,2002,15129,3623,4630,432,877,0,29,99,23934
"202",45,2003,13237,3341,4329,418,846,0,17,91,20879
"203",45,2004,13004,3630,4774,319,942,0,15,91,18779
"204",46,2000,7180,78,961,8,21,123,9,0,8178
"205",46,2001,5165,44,782,3,28,63,7,0,5956
"206",46,2002,6429,85,1051,13,40,122,12,0,7969
"207",46,2003,6364,89,1010,21,43,123,5,0,8087
"208",46,2004,6399,132,1111,13,79,90,4,0,8249
"209",47,2000,3647,1755,1155,0,416,0,21,0,6488
"210",47,2001,4627,2234,1352,0,761,0,21,0,8465
"211",47,2002,3868,2405,1467,0,1048,0,13,0,8310
"212",47,2003,4451,2734,1461,0,1366,0,10,0,9539
"213",47,2004,4785,2586,1184,0,1282,0,6,0,9679
"214",48,2000,9100,8131,5666,3642,628,87,118,0,23668
"215",48,2001,9683,7797,6013,3515,1002,91,127,0,24733
"216",48,2002,10849,9100,6898,4113,1258,115,157,0,28638
"217",48,2003,10092,9098,7473,3566,1530,149,104,0,28200
"218",48,2004,9621,9201,7991,3763,1876,90,107,0,29059
"219",49,2000,8470,1528,3635,1573,333,2,41,60,15739
"220",49,2001,6798,1161,2812,1258,343,5,40,53,13098
"221",49,2002,4674,797,1984,937,272,0,17,46,9474
"222",49,2003,4734,844,2220,1069,407,2,9,38,10523
"223",49,2004,4483,725,2265,1053,504,4,16,66,10329
"224",50,2000,5022,247,1066,422,153,0,13,22,5953
"225",50,2001,4776,238,1053,533,188,0,10,12,5825
"226",50,2002,4665,362,1232,821,264,0,10,17,6230
"227",50,2003,4537,352,1137,675,487,0,6,25,6151
"228",50,2004,3141,356,907,517,507,0,4,16,4604
"229",51,2000,8926,3851,3356,1567,842,28,43,123,20135
"230",51,2001,9115,3728,3931,1499,1097,22,35,164,22672
"231",51,2002,11768,4880,5428,2093,1124,68,44,189,28787
"232",51,2003,18320,8160,8315,3775,1928,179,131,267,42312
"233",51,2004,20922,10742,9444,4762,2553,120,146,356,47598
"234",53,2000,14141,2186,7083,2778,318,6,114,38,23541
"235",53,2001,13500,2019,6915,2502,362,11,75,44,23081
"236",53,2002,12358,1861,6578,2368,528,16,79,42,21552
"237",53,2003,13028,2097,6738,2235,688,14,88,49,22720
"238",53,2004,13586,2163,6869,2780,1059,14,72,47,25083
"239",54,2003,2430,304,670,106,469,0,5,43,3483
"240",54,2004,2562,411,760,159,560,2,5,67,3916
"241",55,2000,14536,1587,1926,288,172,0,24,20,18428
"242",55,2001,14373,1599,1879,418,228,0,20,23,18275
"243",55,2002,14423,1624,2068,522,306,0,21,21,18438
"244",55,2003,17129,2694,2058,772,396,0,18,26,21787
"245",55,2004,16872,2166,2049,657,530,2,15,47,20769
"246",56,2000,2709,96,745,23,38,0,10,6,3498
"247",56,2001,3768,124,997,18,49,2,15,8,4943
"248",56,2002,3320,105,980,9,58,0,7,2,4296
"249",56,2003,3717,100,1019,21,85,0,7,2,4965
"250",56,2004,3283,84,941,19,105,0,11,2,4726
"251",72,2003,1105,160,285,2216,0,0,0,0,3492
"252",72,2004,624,107,135,1677,0,0,0,0,2447
